mrtbusstop,mrtbusstopdescription,mrtstation,mrtline
46779,Admiralty Stn,Admiralty,NS
46771,Opp Admiralty Stn,Admiralty,NS
81089,Aljunied Stn,Aljunied,EW
81081,Opp Aljunied Stn,Aljunied,EW
54269,Opp Ang Mo Kio Stn,Ang Mo Kio,NS
67131,Bakau Stn/Blk 122F,Bakau,LRT
44329,Bangkit Stn,Bangkit,LRT
44321,Opp Bangkit Stn,Bangkit,LRT
62071,BARTLEY STN EXIT A,Bartley,CC
3519,Bayfront Stn Exit A,Bayfront,CC/DT
3509,Bayfront Stn Exit B/MBS,Bayfront,CC/DT
42099,Beauty World Stn Exit A,Beauty World,DT
42091,Beauty World Stn Exit B,Beauty World,DT
42151,Beauty World Stn Exit C,Beauty World,DT
42159,Opp Beauty World Stn,Beauty World,DT
84039,Bedok Stn Exit A,Bedok,EW
84031,Bedok Stn Exit B,Bedok,EW
84451,BEDOK NTH STN EXIT A,Bedok North,DT
84539,BEDOK NTH STN EXIT B,Bedok North,DT
84201,BEDOK RESVR STN EXIT A,Bedok Resvoir,DT
84209,Bedok Resvr Stn Exit B,Bedok Resvoir,DT
8069,BENCOOLEN STN EXIT B,Bencoolen,DT
4019,OPP BENCOOLEN STN EXIT B,Bencoolen,DT
60011,BENDEMEER STN EXIT A,Bendemeer,DT
60019,BENDEMEER STN EXIT B,Bendemeer,DT
53231,BISHAN STN,Bishan,CC/NS
53239,OPP BISHAN STN,Bishan,CC/NS
60121,Boon Keng Stn/Blk 102,Boon Keng,NE
60199,Boon Keng Stn/Blk 22,Boon Keng,NE
60119,Opp Boon Keng Stn,Boon Keng,NE
22571,Opp Boon Lay Stn,Boon Lay,EW
41021,Botanic Gdns Stn,Botanic Gardens,CC/DT
41029,Opp Botanic Gdns Stn,Botanic Gardens,CC/DT
52179,Braddell Stn/Blk 106,Braddell,NS
52171,Braddell Stn/Blk 107,Braddell,NS
52161,Braddell Stn/Blk 111,Braddell,NS
67609,Buangkok Stn Exit A,Buangkok,NE
67601,Buangkok Stn Exit B,Buangkok,NE
1113,Bugis Stn Exit A,Bugis,DT/EW
1059,Bugis Stn Exit B,Bugis,DT/EW
1541,Bugis Stn Exit D,Bugis,DT/EW
44159,Bt Batok Fire Stn,Bukit Batok,NS
43579,Bt Gombak Stn,Bukit Gombak,NS
43571,Opp Bt Gombak Stn,Bukit Gombak,NS
44029,Bt Panjang Stn Exit A/Lrt,Bukit Panjang,NS
44021,Bt Panjang Stn Exit B,Bukit Panjang,NS
44251,Bt Panjang Stn/Blk 604,Bukit Panjang,NS
11191,Buona Vista Stn,Buona Vista,CC/EW
11361,Buona Vista Stn Exit C,Buona Vista,CC/EW
11369,Buona Vista Stn Exit D,Buona Vista,CC/EW
52559,Caldecott Stn,Caldecott,CC
52241,Opp Caldecott Stn,Caldecott,CC
58549,Canberra Stn,Canberra,NS
58541,Opp Canberra Stn,Canberra,NS
43109,Cashew Stn,Cashew,LRT
67429,Cheng Lim Stn Exit A,Cheng Lim,LRT
67421,Cheng Lim Stn Exit B,Cheng Lim,LRT
5013,Chinatown Stn Exit C,Chinatown,DT/NE
28341,Chinese Gdn Stn,Chinese Garden,EW
28349,Opp Chinese Gdn Stn,Chinese Gardens,EW
44539,Lot 1/Choa Chu Kang Stn,Choa Chu Chang,NS
44531,Opp Choa Chu Kang Stn,Choa Chu Chang,NS
4167,City Hall Stn Exit B,City Hall,EW/NS
4222,Clarke Quay Stn Exit E,Clarke Quay,NE
4239,Opp Clarke Quay Stn,Clarke Quay,NE
17171,Clementi Stn Exit A,Clementi,EW
17179,Clementi Stn Exit B,Clementi,EW
11161,C'Wealth Stn Exit A/D,Commonwealth,EW
11169,C'Wealth Stn Exit B/C,Commonwealth,EW
67251,Compassvale Stn Exit A,Compassvale,LRT
67259,Compassvale Stn Exit B,Compassvale,LRT
65179,Coral Edge Stn Exit A,Coral Edge,LRT
65171,Coral Edge Stn Exit B,Coral Edge,LRT
65159,Cove Stn Exit A,Cove,LRT
65151,Cove Stn Exit B,Cove,LRT
81181,Dakota Stn Exit A/Blk 99,Dakota,CC
81189,Dakota Stn Exit B/Blk 60,Dakota,CC
65309,Damai Stn Exit A,Damai,LRT
65301,Damai Stn Exit B,Damai,LRT
8057,Dhoby Ghaut Stn,Dhoby Ghaut,NS/CC/NE
8031,Dhoby Ghaut Stn Exit B,Dhoby Ghaut,NS/CC/NE
19031,Dover Stn Exit A,Dover,EW
19039,Dover Stn Exit B,Dover,EW
3529,Downtown Stn,Downtown,DT
1619,Esplanade Stn Exit F,Esplanade,CC
83101,Eunos Stn,Eunos,EW
82061,Eunos Stn/ Int,Eunos,EW
83109,Opp Eunos Stn,Eunos,EW
96301,EXPO STN EXIT B,Expo,EW/DT
96309,EXPO STN EXIT E,Expo,EW/DT
44771,Fajar Stn,Fajar,LRT
44779,Opp Fajar Stn,Fajar,LRT
50251,Farrer Pk Stn Exit A,Farrer Park,NE
50279,Farrer Pk Stn Exit D,Farrer Park,NE
11119,Farrer Rd Stn Exit A,Farrer Park,NE
11111,Farrer Rd Stn Exit B,Farrer Park,NE
50259,Opp Farrer Pk Stn,Farrer Park,NE
67481,Fernvale Stn/Blk 439A,Fernvale,LRT
67489,Opp Fernvale Stn,Fernvale,LRT
4339,FORT CANNING STN EXIT B,Fort Canning,DT
60221,BLK 73/GEYLANG BAHRU STN,Geylang Bahru,DT
24511,GUL CIRCLE STN EXIT A,Gul Circle,EW
24519,GUL CIRCLE STN EXIT B,Gul Circle,EW
14129,Harbourfront Stn Exit A,Harbourfront,CC/NE
14141,HarbourFront Stn/Vivocity,Harbourfront,CC/NE
16019,Haw Par Villa Stn,Haw Par Villa,CC
16229,Haw Par Villa Stn,Haw Par Villa,CC
16011,Opp Haw Par Villa Stn,Haw Par Villa,CC
16221,Opp Haw Par Villa Stn,Haw Par Villa,CC
43061,Hillview Stn,Hillview,DT
43069,HILLVIEW STN EXIT A,Hillview,DT
11401,Holland V Stn/Blk12,Holland Village,CC
11419,Holland V Stn Exit A,Holland Village,CC
7529,JLN BESAR STN EXIT A,Jalan Besar,DT
44729,Jelapang Stn,Jelapang,LRT
44721,Opp Jelapang Stn,Jelapang,LRT
23499,Joo Koon Stn Exit A,Joo Koon,EW
23491,Joo Koon Stn Exit B,Joo Koon,EW
22419,Jurong West Sub-Stn,Jurong,NS/EW
65329,Kadaloor Stn Exit A,Kadaloor,LRT
65321,Kadaloor Stn Exit B,Kadaloor,LRT
72039,KAKI BT STN EXIT A,Kaki Bukit,DT
80031,Kallang Stn,Kallang,EW
80101,Kallang Stn/Opp Blk 2C,Kallang,EW
80109,Opp Kallang Stn/Blk 2C,Kallang,EW
67159,Kangkar Stn Exit A,Kangkar,LRT
67151,Kangkar Stn Exit B,Kangkar,LRT
83062,Kembangan Stn,Kembangan,EW
83321,Kembangan Stn,Kembangan,EW
83329,Opp Kembangan Stn,Kembangan,EW
15131,Kent Ridge Stn,Kent Ridge,CC
18331,Kent Ridge Stn Exit A/NUH,Kent Ridge,CC
15139,Kent Ridge Stn Exit B,Kent Ridge,CC
18339,Opp Kent Ridge Stn Exit A,Kent Ridge,CC
59569,Khatib Stn Exit D,Khatib,NS
59049,Opp Khatib Stn,Khatib,NS
59561,Opp Khatib Stn Exit D,Khatib,NS
42051,King Albert Pk Stn,King Albert Park,DT
42059,Opp King Albert Pk Stn,King Albert Park,DT
63031,Kovan Stn Exit B,Kovan,NE
63039,Kovan Stn Exit C,Kovan,NE
45139,Kranji Stn,Kranji,NS
45131,Opp Kranji Stn,Kranji,NS
15141,Labrador Pk Stn,Labrador,CC
15149,Labrador Pk Stn/PSA Bldg,Labrador,CC
28091,Lakeside Stn,Lakeside,EW
28099,Opp Lakeside Stn,Lakeside,EW
1319,Lavender Stn Exit A/ICA,Lavender,EW
1311,Lavender Stn Exit B,Lavender,EW
67479,Layar Stn Exit A/Blk 417A,Layar,LRT
67471,Layar Stn Exit B,Layar,LRT
40019,Little India Stn,Little India,NE/DT
40011,LITTLE INDIA STN EXIT A,Little India,NE/DT
66391,Lor Chuan Stn Exit A,Lorong Chuan,CC
66399,Opp Lor Chuan Stn Exit B,Lorong Chuan,CC
70371,Macpherson Stn Exit A,Macpherson,CC/DT
70259,Macpherson Stn Exit B,Macpherson,CC/DT
70251,Macpherson Stn Exit C,Macpherson,CC/DT
70379,Opp Macpherson Stn Exit A,Macpherson,CC/DT
70201,OPP MACPHERSON STN EXIT D,Macpherson,CC/DT
3539,Marina Bay Stn,Marina Bay,NS/CC/TE
46521,Marsiling Stn,Marsiling,NS
46529,Opp Marsiling Stn,Marsiling,NS
53121,Marymount Stn,Marymount,CC
53129,Opp Marymount Stn,Marymount,CC
70161,OPP MATTAR STN EXIT A,Mattar,DT
70231,OPP MATTAR STN EXIT B,Mattar,DT
65169,Meridian Stn Exit A,Meridian,LRT
65161,Meridian Stn Exit B,Meridian,LRT
80279,Mountbatten Stn Exit B,Mountbatten,CC
80271,Opp Mountbatten Stn,Mountbatten,CC
40181,Newton Stn Exit A,Newton,NS/DT
40189,Newton Stn Exit B,Newton,NS/DT
40041,Newton Stn Exit C,Newton,NS/DT
40049,Opp Newton Stn Exit C,Newton,NS/DT
65619,Nibong Stn Exit A,Nibong,LRT
65611,Nibong Stn Exit B,Nibong,LRT
80161,Opp Nicoll Highway Stn,Nicoll Highway,CC
80169,Nicoll Highway Stn,Nicoll Highway,CC
50038,Novena Stn,Novena,NS
50037,Novena Stn Exit B,Novena,NS
65319,Oasis Stn Exit A,Oasis,LRT
65311,Oasis Stn Exit B/Blk 617D,Oasis,LRT
18051,One-North Stn,one-north,CC
18159,One-North Stn/Galaxis,one-north,CC
18059,Opp One-North Stn,one-north,CC
18151,Opp One-North Stn/Galaxis,one-north,CC
9023,Opp Orchard Stn/ION,Orchard,NS/TE
9048,Orchard Stn/Lucky Plaza,Orchard,NS/TE
9047,Orchard Stn/Tang Plaza,Orchard,NS/TE
6011,Opp Outram Pk Stn,Outram Park,EW/NE/TE
6029,Outram Pk Stn,Outram Park,EW/NE/TE
10018,Outram Pk Stn Exit F/SGH,Outram Park,EW/NE/TE
5069,Outram Pk Stn Exit H,Outram Park,EW/NE/TE
15191,Pasir Panjang Stn/Fc,Pasir Panjang,CC
77031,Blk 528C/Pasir Ris Stn,Pasir Ris,EW
81111,Paya Lebar Stn Exit B,Paya Lebar,CC/EW
81119,Paya Lebar Stn Exit C,Paya Lebar,CC/EW
81129,Paya Lebar Stn Exit D,Paya Lebar,CC/EW
44221,Opp Pending Stn,Pending,LRT
44209,Opp Petir Stn,Petir,LRT
44149,Opp Phoenix Stn,Phoenix,LRT
44141,Phoenix Stn,Phoenix,LRT
22521,Pioneer Stn Exit A,Pioneer,EW
22529,Pioneer Stn Exit B,Pioneer,EW
60269,Potong Pasir Stn Exit B,Potong Pasir,NE
60261,Potong Pasir Stn Exit C,Potong Pasir,NE
2161,Promenade Stn,Promenade,CC/DT
2169,Promenade Stn Exit B,Promenade,CC/DT
65251,Punggol Stn,Punggol,NE
65259,Punggol Stn/Int,Punggol,NE
11141,Queenstown Stn Exit A/D,Queenstown,EW
11149,Queenstown Stn Exit B/C,Queenstown,EW
3031,Raffles Pl Stn Exit F,Raffles Place,EW/NS
67211,Ranggung Stn Exit A,Ranggung,LRT
67219,Ranggung Stn Exit B,Ranggung,LRT
10201,Opp Redhill Stn,Redhill,EW
10209,Redhill Stn,Redhill,EW
67299,Renjong Stn Exit A,Renjong,LRT
67291,Renjong Stn Exit B,Renjong,LRT
65239,Riviera Stn Exit A,Riviera,LRT
65231,Riviera Stn Exit B,Riviera,LRT
7539,Opp Rochor Stn,Rochor,DT
7531,Rochor Stn,Rochor,DT
67229,Rumbia Stn Exit A,Rumbia,LRT
67221,Rumbia Stn Exit B/Blk 153,Rumbia,LRT
65629,Samudera Stn Exit A,Samudera,LRT
65621,Samudera Stn Exit B,Samudera,LRT
58219,Opp Sembawang Stn,Sembawang,NS
58211,Sembawang Stn,Sembawang,NS
58251,Sun Plaza/Sembawang Stn,Sembawang,NS
67719,Opp Sengkang Fire Stn,Sengkang,NE
67401,Opp Sengkang Stn/Blk 260A,Sengkang,NE
67409,Sengkang Stn,Sengkang,NE
66381,Opp S'Goon Stn Exit F,Serangoon,CC/NE
62139,S'Goon Stn Exit A/Blk 413,Serangoon,CC/NE
66351,S'Goon Stn Exit B,Serangoon,CC/NE
66359,S'Goon Stn Exit C/Blk 201,Serangoon,CC/NE
62189,S'Goon Stn Exit D/Blk 416,Serangoon,CC/NE
66389,S'Goon Stn Exit F,Serangoon,CC/NE
62131,S'Goon Stn Exit H,Serangoon,CC/NE
96161,Opp Simei Stn,Simei,EW
96149,Simei Stn,Simei,EW
96169,Simei Stn,Simei,EW
42019,Opp Sixth Ave Stn,Sixth Avenue,DT
41081,Sixth Ave Stn,Sixth Avenue,DT
9038,Opp Somerset Stn,Somerset,NS
8121,Somerset Stn,Somerset,NS
65141,Soo Teck Stn,Soo Teck,LRT
65149,Soo Teck Stn,Soo Teck,LRT
40089,Opp Stevens Stn,Stevens,DT
40221,Opp Stevens Stn,Stevens,DT
40081,Stevens Stn,Stevens,DT
65609,Sumang Stn Exit A,Sumang,LRT
65601,Sumang Stn Exit B,Sumang,LRT
76229,OPP TAMPINES EAST STN,Tampines,EW/DT
76149,Opp Tampines Stn/Int,Tampines,EW/DT
76551,TAMPINES STN EXIT D,Tampines,DT/EW
76141,Tampines Stn/Int,Tampines,DT/EW
76221,TAMPINES EAST STN EXIT A,Tampines East,DT
76031,TAMPINES EAST STN EXIT B,Tampines East,DT
76039,TAMPINES EAST STN EXIT C,Tampines East,DT
75051,TAMPINES WEST STN EXIT B,Tampines West,DT
41069,Opp Tan Kah Kee Stn,Tan Kah Kee,DT
41051,Tan Kah Kee Stn,Tan Kah Kee,DT
85099,Tanah Merah Stn Exit A,Tanah Merah,EW/CG
85091,Tanah Merah Stn Exit B,Tanah Merah,EW/CG
3223,Tanjong Pagar Stn Exit C,Tanjong Pagar,EW
3041,Telok Ayer Stn Exit A,Telok Ayer,DT
14169,Opp Telok Blangah Stn,Telok Blangah,CC
14161,Telok Blangah Stn,Telok Blangah,CC
67741,THANGGAM STN,Thanggam,LRT
10161,Opp Tiong Bahru Stn,Tiong Bahru,EW
10169,Tiong Bahru Stn,Tiong Bahru,EW
52181,Opp Toa Payoh Stn,Toa Payoh,NS
52189,Toa Payoh Stn,Toa Payoh,NS
24709,TUAS CRES STN EXIT A,Tuas Crescent,EW
24701,TUAS CRES STN EXIT B,Tuas Crescent,EW
25421,OPP TUAS LINK STN,Tuas Link,EW
25429,TUAS LINK STN,Tuas Link,EW
24719,TUAS WEST RD STN EXIT A,Tuas West,EW
24711,TUAS WEST RD STN EXIT B,Tuas West,EW
71129,UBI STN EXIT A,Ubi,DT
71121,UBI STN EXIT B,Ubi,DT
96041,Upp Changi Stn/Opp SUTD,Upper Changi,DT
96049,Upp Changi Stn/SUTD,Upper Changi,DT
46639,W'Lands Stn Exit 4,Woodlands,NS
46631,W'Lands Stn Exit 5,Woodlands,NS
47201,W'lands Nth Stn,Woodlands North,TE
46989,W'lands Sth Stn Exit 1,Woodlands South,TE
46981,W'lands Sth Stn Exit 2,Woodlands South,TE
61039,Woodleigh Stn Exit A,Woodleigh,NE
61031,Woodleigh Stn Exit B,Woodleigh,NE
45329,Opp Yew Tee Stn,Yew Tee,NS
45321,Yew Tee Stn,Yew Tee,NS
55181,Opp Yio Chu Kang Stn,Yio Chu Chang,NS
55189,Yio Chu Kang Stn,Yio Chu Chang,NS
59073,Opp Yishun Stn,Yishun,NS
59159,Opp Yishun Stn Exit B,Yishun,NS
59079,Yishun Stn,Yishun,NS
59072,Yishun Stn Exit E,Yishun,NS
