longitude,latitude
(103.83689319999999, 1.3668555)
(103.83688509999999, 1.3668700999999999)
(103.83688509999999, 1.3668700999999999)
(103.83699171249111, 1.3668165674469954)
(103.83699259265984, 1.3668821912037643)
(103.83704824317878, 1.3669083389452388)
(103.83703550443647, 1.3667629828477088)
(103.83697639150445, 1.3668282202666064)
(103.83701938528802, 1.3667903527787642)
(103.83701938528802, 1.3667903527787642)
(103.83700995175765, 1.3668290727897705)
(103.83703661535118, 1.366977267373384)
(103.83701638507134, 1.3668071821007162)
(103.83702352887231, 1.3668783844364019)
(103.83702352887231, 1.3668783844364019)
(103.83701909173911, 1.3668538398659045)
(103.83700303070657, 1.3668434389660382)
(103.83702007797594, 1.366861407277368)
(103.83699194886488, 1.3668508527538934)
(103.83697882874452, 1.366849256401892)
(103.83698145486063, 1.3668535332857237)
(103.83698145486063, 1.3668535332857237)
(103.8369921761086, 1.366838645333399)
(103.86255277936776, 1.3212766122966493)
(103.9028103, 1.3355825)
(103.86221030172469, 1.3207273267965136)
(103.9028103, 1.3355825)
(103.8619099110296, 1.3202868118123958)
(103.86124307126325, 1.3193125099254785)
(103.86187572142315, 1.3202673930344255)
(103.86183401141835, 1.320319152818114)
(103.9072217, 1.3292111)
(103.9072491, 1.3292141)
(103.8369649, 1.3668307)
(103.8369716, 1.3668349)
(103.8369171, 1.3668653)
(103.8369171, 1.3668653)
(103.8368982, 1.3668757999999999)
(103.8369227, 1.3668565)
(103.83690879999999, 1.3668723)
(103.83690879999999, 1.3668723)
(103.83690879999999, 1.3668723)
(103.83690879999999, 1.3668723)
(103.83691639999999, 1.3668338)
(103.83691639999999, 1.3668338)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.8369113, 1.3668562)
(103.836894, 1.3668513999999998)
(103.836894, 1.3668513999999998)
(103.836934, 1.3668164999999999)
(103.836934, 1.3668164999999999)
(103.836934, 1.3668164999999999)
(103.836934, 1.3668164999999999)
(103.836934, 1.3668164999999999)
(103.83690969999999, 1.366819)
(103.83690969999999, 1.366819)
(103.83690969999999, 1.366819)
(103.83690969999999, 1.366819)
(103.8369025, 1.3668574999999998)
(103.8369151, 1.3668498999999998)
(103.8369151, 1.3668498999999998)
(103.8369151, 1.3668498999999998)
(103.8369, 1.3668559)
(103.8369, 1.3668559)
(103.8369, 1.3668559)
(103.8369, 1.3668559)
(103.8369, 1.3668559)
(103.83692049999999, 1.3668358)
(103.83692049999999, 1.3668358)
(103.836953, 1.3668532)
(103.836953, 1.3668532)
(103.836953, 1.3668532)
(103.836953, 1.3668532)
(103.836953, 1.3668532)
(103.836953, 1.3668532)
(103.836953, 1.3668532)
(103.8369022, 1.3668643999999999)
(103.8369022, 1.3668643999999999)
(103.8369022, 1.3668643999999999)
(103.8369022, 1.3668643999999999)
(103.8369022, 1.3668643999999999)
(103.8369022, 1.3668643999999999)
(103.8369032, 1.3668495999999999)
(103.8369032, 1.3668495999999999)
(103.8369182, 1.3668371)
(103.8369182, 1.3668371)
(103.8369197, 1.3668464999999999)
(103.8369197, 1.3668464999999999)
(103.8369197, 1.3668464999999999)
(103.83694249999999, 1.3668495999999999)
(103.83694249999999, 1.3668495999999999)
(103.83694249999999, 1.3668495999999999)
(103.83694249999999, 1.3668495999999999)
(103.8369525, 1.366844)
(103.8369525, 1.366844)
(103.836953, 1.3668097)
(103.836953, 1.3668097)
(103.836953, 1.3668097)
(103.836953, 1.3668097)
(103.836953, 1.3668097)
(103.836935, 1.3668278)
(103.836935, 1.3668278)
(103.83692769999999, 1.3668217999999999)
(103.83692769999999, 1.3668217999999999)
(103.83692769999999, 1.3668217999999999)
(103.83692769999999, 1.3668217999999999)
(103.8369491, 1.3668335999999999)
(103.8369491, 1.3668335999999999)
(103.8369185, 1.3668622)
(103.8369185, 1.3668622)
(103.8369132, 1.3668563999999999)
(103.8369132, 1.3668563999999999)
(103.8369132, 1.3668563999999999)
(103.8369132, 1.3668563999999999)
(103.8369132, 1.3668563999999999)
(103.8369132, 1.3668563999999999)
(103.8369075, 1.3668548999999999)
(103.83690659999999, 1.3668666999999999)
(103.83690659999999, 1.3668666999999999)
(103.8369312, 1.3668506999999999)
(103.8369312, 1.3668506999999999)
(103.8369312, 1.3668506999999999)
(103.8369312, 1.3668506999999999)
(103.8369312, 1.3668506999999999)
(103.8369312, 1.3668506999999999)
